Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_10,EMA_50,Price_Change,Daily_Return,Volatility
2007-09-17,4518.450195,4549.049805,4482.850098,4494.649902,51250.0,,,4494.649902,4494.649902,,,
2007-09-18,4494.100098,4551.799805,4481.549805,4546.200195,56390.0,,,4504.022682545455,4496.6714821176465,51.55029300000024,0.011469256588163113,
2007-09-19,4550.25,4739.0,4550.25,4732.350098,108520.0,,,4545.536758082644,4505.9137807797,186.14990299999954,0.040946261716483745,
2007-09-20,4734.850098,4760.850098,4721.149902,4747.549805,93970.0,,,4582.266402976708,4515.389703298143,15.199706999999762,0.0032118728930101703,
2007-09-21,4752.950195,4855.700195,4733.700195,4837.549805,161390.0,,,4628.681566980943,4528.0234327766475,90.0,0.018957147096216653,
2007-09-24,4837.149902,4941.149902,4837.149902,4932.200195,147580.0,,,4683.8667720753165,4543.873501883446,94.6503900000007,0.01956577065153353,
2007-09-25,4939.100098,4953.899902,4878.149902,4938.850098,140290.0,,,4730.2273767888955,4559.362780162526,6.64990299999954,0.0013482629936110158,
2007-09-26,4937.600098,4980.850098,4930.350098,4940.5,117670.0,,,4768.4587628272775,4574.309337803212,1.649902000000111,0.0003340660208877022,
2007-09-27,4942.700195,5016.399902,4942.700195,5000.549805,172140.0,,,4810.657134131408,4591.0246502423015,60.04980499999965,0.012154600748911948,
2007-09-28,4996.450195,5055.799805,4996.450195,5021.350098,137760.0,4819.1750001,,4848.964945743879,4607.900157997505,20.800293000000238,0.004159601206091823,
2007-10-01,5021.5,5089.299805,5001.350098,5068.950195,132210.0,4876.6050294,,4888.962263790447,4625.980551605446,47.60009700000046,0.009479541571689953,
2007-10-03,5069.0,5261.350098,5034.149902,5210.799805,187720.0,4943.0649904,,4947.478180374002,4648.914639973859,141.8496099999993,0.027984021255509584,
2007-10-04,5211.649902,5233.100098,5126.049805,5208.649902,127310.0,4990.6949708,,4994.963947942364,4670.865042406257,-2.14990299999954,-0.00041258599072191426,
2007-10-05,5208.149902,5248.549805,5164.5,5185.850098,93290.0,5034.5250001,,5029.670520680116,4691.060534782482,-22.799804000000222,-0.004377296310747569,
2007-10-08,5186.25,5249.299805,5024.75,5085.100098,111430.0,5059.2800294,,5039.748625647368,4706.513066673366,-100.75,-0.019427865845728087,
2007-10-09,5062.649902,5348.700195,5000.950195,5327.25,139860.0,5098.785009900001,,5092.0216028023915,4730.855691509704,242.1499020000001,0.04761949565068324,
2007-10-10,5328.149902,5454.700195,5328.149902,5441.450195,184940.0,5149.0450196,,5155.554074111047,4758.722142626971,114.20019500000035,0.021436988127082612,
2007-10-11,5438.899902,5532.75,5424.25,5524.850098,130840.0,5207.4800294,,5222.69880572722,4788.766376171011,83.39990299999954,0.015326778709953803,
2007-10-12,5525.299805,5549.299805,5402.600098,5428.25,174470.0,5250.2500488999995,,5260.071750140452,4813.844165340775,-96.60009799999989,-0.017484655019865514,
2007-10-15,5428.350098,5682.649902,5419.899902,5670.399902,160990.0,5315.1550293,,5334.67686866037,4847.434586386235,242.1499020000001,0.04460920222907938,315.391206406739
2007-10-16,5670.649902,5708.350098,5578.450195,5668.049805,174110.0,5375.064990299999,,5395.29012981303,4879.615575351481,-2.35009700000046,-0.0004144499577837246,312.41051424630956
2007-10-17,5658.899902,5658.899902,5107.299805,5559.299805,186850.0,5409.9149903,,5425.110070756115,4906.26985886711,-108.75,-0.019186493369212743,295.13626896208643
2007-10-18,5551.100098,5736.799805,5269.649902,5351.0,202750.0,5424.1500001,,5411.635512436821,4923.7102565585965,-208.29980499999965,-0.03746871230305948,278.06285187927756
2007-10-19,5360.350098,5390.850098,5101.75,5215.299805,181010.0,5427.0949708,,5375.938111084672,4935.145140811201,-135.70019500000035,-0.025359782283685406,256.15576152879385
2007-10-22,5202.75,5247.399902,5070.899902,5184.0,131800.0,5436.984961,,5341.040272705641,4944.904154897036,-31.29980499999965,-0.006001535131305746,239.32316045277784
2007-10-23,5185.299805,5488.5,5176.850098,5473.700195,145840.0,5451.6299805,,5365.160258577342,4965.641254508918,289.70019500000035,0.055883525270061796,232.22520646498745
2007-10-24,5477.600098,5577.899902,5419.399902,5496.149902,166880.0,5457.0999512,,5388.976557381461,4986.445515194843,22.449706999999762,0.004101376801839862,222.99309391370363
2007-10-25,5499.049805,5605.950195,5469.299805,5568.950195,188730.0,5461.509960900001,,5421.699036948467,5009.288835971516,72.80029300000024,0.013245689127494353,213.27979469086128
2007-10-26,5564.25,5716.899902,5513.350098,5702.299805,164400.0,5488.9149414,,5472.717358412382,5036.4657367177315,133.3496099999993,0.023945197089340953,213.17345058396592
